iter	Passed	Remaining
0	28	5673
1	54	5363
2	79	5167
3	103	5068
4	129	5043
5	155	5017
6	181	4977
7	190	4558
8	216	4566
9	244	4624
10	270	4617
11	294	4591
12	322	4607
13	349	4618
14	375	4607
15	400	4578
16	425	4560
17	450	4530
18	475	4506
19	501	4487
20	526	4465
21	551	4440
22	578	4426
23	604	4410
24	630	4385
25	655	4362
26	680	4332
27	705	4311
28	732	4291
29	757	4268
30	781	4235
31	806	4207
32	832	4188
33	858	4167
34	884	4146
35	910	4123
36	937	4105
37	963	4080
38	989	4059
39	1014	4031
40	1040	4008
41	1065	3984
42	1092	3964
43	1119	3942
44	1144	3916
45	1169	3888
46	1193	3859
47	1218	3834
48	1243	3807
49	1269	3783
50	1295	3760
51	1320	3733
52	1346	3710
53	1372	3686
54	1397	3659
55	1424	3638
56	1449	3610
57	1474	3584
58	1499	3557
59	1524	3531
60	1551	3509
61	1575	3481
62	1600	3454
63	1625	3428
64	1649	3400
65	1675	3375
66	1700	3349
67	1727	3328
68	1753	3303
69	1777	3276
70	1804	3252
71	1830	3229
72	1855	3203
73	1880	3176
74	1904	3149
75	1929	3122
76	1955	3098
77	1980	3071
78	2004	3044
79	2028	3016
80	2051	2988
81	2078	2966
82	2105	2942
83	2130	2916
84	2154	2888
85	2176	2860
86	2200	2833
87	2225	2807
88	2249	2780
89	2274	2754
90	2300	2730
91	2324	2703
92	2349	2677
93	2376	2654
94	2402	2630
95	2427	2604
96	2453	2579
97	2479	2555
98	2504	2529
99	2529	2504
100	2554	2478
101	2578	24521102	2602	24251103	2628	24011104	2653	23751105	2677	23491106	2703	23241107	2729	22991108	2755	22751109	2780	22491110	2804	22231111	2829	21971112	2855	21721113	2879	21471114	2903	21201115	2928	20951116	2952	20681117	2976	2043118	3054	2053
119	3080	2027
120	3106	2002
121	3133	1977
122	3158	1951
123	3183	1925
124	3210	1900
125	3235	1874
126	3262	1849
127	3287	1823
128	3313	1798
129	3340	1773
130	3367	1748
131	3393	1722
132	3419	1696
133	3445	1671
134	3471	1645
135	3497	1620
136	3523	1594
137	3549	1568
138	3574	1543
139	3599	1517
140	3624	1491
141	3651	1465
142	3678	1440
143	3704	1414
144	3729	1389
145	3757	1363
146	3785	1339
147	3815	1314
148	3841	1288
149	3867	1263
150	3893	1237
151	3920	1212
152	3947	1186
153	3974	1161
154	4000	1135
155	4026	1109
156	4052	1084
157	4077	1058
158	4106	1033
159	4132	1007
160	4159	981
161	4186	956
162	4213	930
163	4240	904
164	4267	879
165	4295	853
166	4322	828
167	4350	802
168	4374	776
169	4400	750
170	4428	725
171	4454	699
172	4481	673
173	4505	647
174	4531	621
175	4557	595
176	4582	569
177	4608	543
178	4634	517
179	4661	492
180	4689	466
181	4717	440
182	4746	414
183	4772	389
184	4800	363
185	4828	337
186	4858	311
187	4886	285
188	4913	259
189	4941	234
190	4967	208
191	4997	182
192	5022	156
193	5047	130
194	5070	104
195	5092	77
196	5109	51
197	5124	25
198	5138	0
